-----------------------------------------
| author                        | count |
| "Klein, H."                   | 2     |
| "Nyvall, R. F."               | 4     |
| "Di Stefano, A."              | 2     |
| "Szabad, M."                  | 2     |
| "Lord, A."                    | 2     |
| "Morales, J."                 | 3     |
| "GORZELAK, P."                | 3     |
| "Neumann, C."                 | 2     |
| "Godthelp, H."                | 2     |
| "Johnson, T. C."              | 6     |
| "ERIKSSON, M. E."             | 2     |
| "Peel, J."                    | 2     |
| "Harwood, D. M."              | 3     |
| "Martinez, S."                | 2     |
| "Druger, M."                  | 3     |
| "Ellwood, B. B."              | 2     |
| "Agnolin, F. L."              | 2     |
| "Srivastava, A. K."           | 2     |
| "Chen, J."                    | 4     |
| "Vachard, D."                 | 5     |
| "Namuth, D. M."               | 3     |
| "Mallison, H."                | 3     |
| "Song, H."                    | 3     |
| "Li, Y."                      | 4     |
| "Krainer, K."                 | 4     |
| "Markgraf, V."                | 2     |
| "Ngasala, S."                 | 2     |
| "Videt, B."                   | 2     |
| "Nunn, E. V."                 | 2     |
| "Taboada, A. C."              | 2     |
| "Maas, A."                    | 2     |
| "Jalil, N. E."                | 2     |
| "Muller, J."                  | 2     |
| "Hanson, K. L."               | 3     |
| "Ekdale, A. A."               | 2     |
| "Macchiarelli, R."            | 2     |
| "Patzkowsky, M. E."           | 2     |
| "Balinski, A."                | 3     |
| "Nardin, E."                  | 2     |
| "da Luz, C.F.P."              | 2     |
| "Landing, E."                 | 3     |
| "LONGRICH, N. R."             | 2     |
| "Boudad, L."                  | 2     |
| "Kolarsky, R. A."             | 5     |
| "Wortmann, C."                | 2     |
| "Micheels, A."                | 3     |
| "Gischler, E."                | 2     |
| "Witzke, B. J."               | 5     |
| "Perkovsky, E. E."            | 3     |
| "Neuweiler, F."               | 2     |
| "Norman, M. D."               | 2     |
| "Racey, A."                   | 2     |
| "Xu, H."                      | 2     |
| "Mohite, A.S."                | 3     |
| "Kaiser, S.I."                | 2     |
| "Tsubamoto, T."               | 4     |
| "Kazi, T.G."                  | 2     |
| "Villas, E."                  | 2     |
| "Colombero, S."               | 2     |
| "Scott, C.S. "                | 2     |
| "Agnini, C."                  | 2     |
| "Copper, P."                  | 2     |
| "Roniewicz, E."               | 3     |
| "Bomfleur, B."                | 3     |
| "Artal, P."                   | 3     |
| "Gebo, D.L."                  | 2     |
